medal_type,medal_code,athlete_short_name,athlete_name,athlete_sex,country_code,discipline_code,event,country,discipline
Bronze Medal,3,GODWIN E,GODWIN Elija,X,USA,ATH,4 x 400m Relay Mixed,United States of America,Athletics
Bronze Medal,3,DEADMON B,DEADMON Bryce,X,USA,ATH,4 x 400m Relay Mixed,United States of America,Athletics
Bronze Medal,3,ELLIS K,ELLIS Kendall,X,USA,ATH,4 x 400m Relay Mixed,United States of America,Athletics
Bronze Medal,3,WHITNEY K,WHITNEY Kaylin,X,USA,ATH,4 x 400m Relay Mixed,United States of America,Athletics
Bronze Medal,3,STEWART T,STEWART Trevor,X,USA,ATH,4 x 400m Relay Mixed,United States of America,Athletics
Bronze Medal,3,MANSON T,MANSON Taylor,X,USA,ATH,4 x 400m Relay Mixed,United States of America,Athletics
Bronze Medal,3,IRBY L,IRBY Lynna,X,USA,ATH,4 x 400m Relay Mixed,United States of America,Athletics
Bronze Medal,3,NORWOOD V,NORWOOD Vernon,X,USA,ATH,4 x 400m Relay Mixed,United States of America,Athletics
Gold Medal,1,STAHL D,STAHL Daniel,M,SWE,ATH,Men's Discus Throw,Sweden,Athletics
Silver Medal,2,PETTERSSON S,PETTERSSON Simon,M,SWE,ATH,Men's Discus Throw,Sweden,Athletics
Bronze Medal,3,WEISSHAIDINGER L,WEISSHAIDINGER Lukas,M,AUT,ATH,Men's Discus Throw,Austria,Athletics
Gold Medal,1,THOMPSON-HERAH E,THOMPSON-HERAH Elaine,W,JAM,ATH,Women's 100m,Jamaica,Athletics
Silver Medal,2,FRASER-PRYCE SA,FRASER-PRYCE Shelly-Ann,W,JAM,ATH,Women's 100m,Jamaica,Athletics
Bronze Medal,3,JACKSON S,JACKSON Shericka,W,JAM,ATH,Women's 100m,Jamaica,Athletics
Gold Medal,1,WANG CL,WANG Chi-Lin,M,TPE,BDM,Men's Doubles,Chinese Taipei,Badminton
Gold Medal,1,LEE Y,LEE Yang,M,TPE,BDM,Men's Doubles,Chinese Taipei,Badminton
Silver Medal,2,LI Jun Hui,LI Jun Hui,M,CHN,BDM,Men's Doubles,People's Republic of China,Badminton
Silver Medal,2,LIU Y,LIU Yu Chen,M,CHN,BDM,Men's Doubles,People's Republic of China,Badminton
Bronze Medal,3,CHIA A,CHIA Aaron,M,MAS,BDM,Men's Doubles,Malaysia,Badminton
Bronze Medal,3,SOH WY,SOH Wooi Yik,M,MAS,BDM,Men's Doubles,Malaysia,Badminton
Bronze Medal,3,TESTA I,TESTA Irma,W,ITA,BOX,Women's Feather (54-57kg),Italy,Boxing
Bronze Medal,3,ARTINGSTALL K,ARTINGSTALL Karriss,W,GBR,BOX,Women's Feather (54-57kg),Great Britain,Boxing
Gold Medal,1,POZDNIAKOVA S,POZDNIAKOVA Sofia,W,ROC,FEN,Women's Sabre Team,ROC,Fencing
Gold Medal,1,NIKITINA O,NIKITINA Olga,W,ROC,FEN,Women's Sabre Team,ROC,Fencing
Gold Medal,1,VELIKAYA S,VELIKAYA Sofya,W,ROC,FEN,Women's Sabre Team,ROC,Fencing
Silver Medal,2,BALZER S,BALZER Sara,W,FRA,FEN,Women's Sabre Team,France,Fencing
Silver Medal,2,BERDER C,BERDER Cecilia,W,FRA,FEN,Women's Sabre Team,France,Fencing
Silver Medal,2,BRUNET M,BRUNET Manon,W,FRA,FEN,Women's Sabre Team,France,Fencing
Silver Medal,2,LEMBACH C,LEMBACH Charlotte,W,FRA,FEN,Women's Sabre Team,France,Fencing
Bronze Medal,3,KIM J,KIM Jiyeon,W,KOR,FEN,Women's Sabre Team,Republic of Korea,Fencing
Bronze Medal,3,YOON J,YOON Jisu,W,KOR,FEN,Women's Sabre Team,Republic of Korea,Fencing
Bronze Medal,3,SEO J,SEO Jiyeon,W,KOR,FEN,Women's Sabre Team,Republic of Korea,Fencing
Bronze Medal,3,CHOI S,CHOI Sooyeon,W,KOR,FEN,Women's Sabre Team,Republic of Korea,Fencing
Gold Medal,1,BUCHARD A,BUCHARD Amandine,X,FRA,JUD,Mixed Team,France,Judo
Gold Medal,1,RINER T,RINER Teddy,X,FRA,JUD,Mixed Team,France,Judo
Gold Medal,1,le BLOUCH K,le BLOUCH Kilian,X,FRA,JUD,Mixed Team,France,Judo
Gold Medal,1,CHAINE G,CHAINE Guillaume,X,FRA,JUD,Mixed Team,France,Judo
Gold Medal,1,CLERGET A,CLERGET Axel,X,FRA,JUD,Mixed Team,France,Judo
Gold Medal,1,IDDIR A,IDDIR Alexandre,X,FRA,JUD,Mixed Team,France,Judo
Gold Medal,1,DICKO R,DICKO Romane,X,FRA,JUD,Mixed Team,France,Judo
Gold Medal,1,MALONGA M,MALONGA Madeleine,X,FRA,JUD,Mixed Team,France,Judo
Gold Medal,1,AGBEGNENOU C,AGBEGNENOU Clarisse,X,FRA,JUD,Mixed Team,France,Judo
Gold Medal,1,PINOT M,PINOT Margaux,X,FRA,JUD,Mixed Team,France,Judo
Gold Medal,1,CYSIQUE SL,CYSIQUE Sarah Leonie,X,FRA,JUD,Mixed Team,France,Judo
Silver Medal,2,ABE U,ABE Uta,X,JPN,JUD,Mixed Team,Japan,Judo
Silver Medal,2,ARAI C,ARAI Chizuru,X,JPN,JUD,Mixed Team,Japan,Judo
Silver Medal,2,YOSHIDA T,YOSHIDA Tsukasa,X,JPN,JUD,Mixed Team,Japan,Judo
Silver Medal,2,TASHIRO M,TASHIRO Miku,X,JPN,JUD,Mixed Team,Japan,Judo
Silver Medal,2,SONE A,SONE Akira,X,JPN,JUD,Mixed Team,Japan,Judo
Silver Medal,2,HARASAWA H,HARASAWA Hisayoshi,X,JPN,JUD,Mixed Team,Japan,Judo
Silver Medal,2,HAMADA S,HAMADA Shori,X,JPN,JUD,Mixed Team,Japan,Judo
Silver Medal,2,NAGASE T,NAGASE Takanori,X,JPN,JUD,Mixed Team,Japan,Judo
Silver Medal,2,WOLF A,WOLF Aaron,X,JPN,JUD,Mixed Team,Japan,Judo
Silver Medal,2,MUKAI S,MUKAI Shoichiro,X,JPN,JUD,Mixed Team,Japan,Judo
Silver Medal,2,ONO S,ONO Shohei,X,JPN,JUD,Mixed Team,Japan,Judo
Silver Medal,2,ABE H,ABE Hifumi,X,JPN,JUD,Mixed Team,Japan,Judo
Bronze Medal,3,MUKI S,MUKI Sagi,X,ISR,JUD,Mixed Team,Israel,Judo
Bronze Medal,3,BUTBUL T,BUTBUL Tohar,X,ISR,JUD,Mixed Team,Israel,Judo
Bronze Medal,3,SASSON O,SASSON Or,X,ISR,JUD,Mixed Team,Israel,Judo
Bronze Medal,3,KOCHMAN L,KOCHMAN Li,X,ISR,JUD,Mixed Team,Israel,Judo
Bronze Medal,3,SHMAILOV B,SHMAILOV Baruch,X,ISR,JUD,Mixed Team,Israel,Judo
Bronze Medal,3,PALTCHIK P,PALTCHIK Peter,X,ISR,JUD,Mixed Team,Israel,Judo
Bronze Medal,3,LANIR I,LANIR Inbar,X,ISR,JUD,Mixed Team,Israel,Judo
Bronze Medal,3,SHARIR G,SHARIR Gili,X,ISR,JUD,Mixed Team,Israel,Judo
Bronze Medal,3,HERSHKO R,HERSHKO Raz,X,ISR,JUD,Mixed Team,Israel,Judo
Bronze Medal,3,NELSON LEVY T,NELSON LEVY Timna,X,ISR,JUD,Mixed Team,Israel,Judo
Bronze Medal,3,RISHONY S,RISHONY Shira,X,ISR,JUD,Mixed Team,Israel,Judo
Bronze Medal,3,WAGNER AM,WAGNER Anna-Maria,X,GER,JUD,Mixed Team,Germany,Judo
Bronze Medal,3,MENZ K,MENZ Katharina,X,GER,JUD,Mixed Team,Germany,Judo
Bronze Medal,3,SCOCCIMARRO G,SCOCCIMARRO Giovanna,X,GER,JUD,Mixed Team,Germany,Judo
Bronze Medal,3,FREY KR,FREY Karl-Richard,X,GER,JUD,Mixed Team,Germany,Judo
Bronze Medal,3,RESSEL D,RESSEL Dominic,X,GER,JUD,Mixed Team,Germany,Judo
Bronze Medal,3,SEIDL S,SEIDL Sebastian,X,GER,JUD,Mixed Team,Germany,Judo
Bronze Medal,3,WANDTKE I,WANDTKE Igor,X,GER,JUD,Mixed Team,Germany,Judo
Bronze Medal,3,FREY J,FREY Johannes,X,GER,JUD,Mixed Team,Germany,Judo
Bronze Medal,3,TRIPPEL E,TRIPPEL Eduard,X,GER,JUD,Mixed Team,Germany,Judo
Bronze Medal,3,TRAJDOS M,TRAJDOS Martyna,X,GER,JUD,Mixed Team,Germany,Judo
Bronze Medal,3,STOLL T,STOLL Theresa,X,GER,JUD,Mixed Team,Germany,Judo
Bronze Medal,3,GRABOWSKI J,GRABOWSKI Jasmin,X,GER,JUD,Mixed Team,Germany,Judo
Gold Medal,1,BLYDE M,BLYDE Michaela,W,NZL,RUG,Women,New Zealand,Rugby Sevens
Gold Medal,1,BROUGHTON G,BROUGHTON Gayle,W,NZL,RUG,Women,New Zealand,Rugby Sevens
Gold Medal,1,POURI-LANE R,POURI-LANE Risi,W,NZL,RUG,Women,New Zealand,Rugby Sevens
Gold Medal,1,SAILI A,SAILI Alena,W,NZL,RUG,Women,New Zealand,Rugby Sevens
Gold Medal,1,KAKA S,KAKA Shiray,W,NZL,RUG,Women,New Zealand,Rugby Sevens
Gold Medal,1,TUI R,TUI Ruby,W,NZL,RUG,Women,New Zealand,Rugby Sevens
Gold Medal,1,FLUHLER S,FLUHLER Stacey,W,NZL,RUG,Women,New Zealand,Rugby Sevens
Gold Medal,1,WILLISON T,WILLISON Tenika,W,NZL,RUG,Women,New Zealand,Rugby Sevens
Gold Medal,1,WOODMAN P,WOODMAN Portia,W,NZL,RUG,Women,New Zealand,Rugby Sevens
Gold Medal,1,NATHAN-WONG T,NATHAN-WONG Tyla,W,NZL,RUG,Women,New Zealand,Rugby Sevens
Gold Medal,1,FITZPATRICK T,FITZPATRICK Theresa,W,NZL,RUG,Women,New Zealand,Rugby Sevens
Gold Medal,1,HIRINI S,HIRINI Sarah,W,NZL,RUG,Women,New Zealand,Rugby Sevens
Gold Medal,1,BRAZIER K,BRAZIER Kelly,W,NZL,RUG,Women,New Zealand,Rugby Sevens
Silver Medal,2,BERTRAND C,BERTRAND Coralie,W,FRA,RUG,Women,France,Rugby Sevens
Silver Medal,2,CIOFANI AC,CIOFANI Anne-Cecile,W,FRA,RUG,Women,France,Rugby Sevens
Silver Medal,2,DROUIN C,DROUIN Caroline,W,FRA,RUG,Women,France,Rugby Sevens
Silver Medal,2,GRASSINEAU C,GRASSINEAU Camille,W,FRA,RUG,Women,France,Rugby Sevens
Silver Medal,2,GUERIN L,GUERIN Lina,W,FRA,RUG,Women,France,Rugby Sevens
Silver Medal,2,HORTA F,HORTA Fanny,W,FRA,RUG,Women,France,Rugby Sevens
Silver Medal,2,IZAR S,IZAR Shannon,W,FRA,RUG,Women,France,Rugby Sevens
Silver Medal,2,JACQUET C,JACQUET Chloe,W,FRA,RUG,Women,France,Rugby Sevens
Silver Medal,2,ULUTULE J,ULUTULE Jade,W,FRA,RUG,Women,France,Rugby Sevens
Silver Medal,2,NEISEN C,NEISEN Carla,W,FRA,RUG,Women,France,Rugby Sevens
Silver Medal,2,OKEMBA S,OKEMBA Seraphine,W,FRA,RUG,Women,France,Rugby Sevens
Silver Medal,2,PELLE C,PELLE Chloe,W,FRA,RUG,Women,France,Rugby Sevens
Bronze Medal,3,LIKUCEVA L,LIKUCEVA Laisana,W,FIJ,RUG,Women,Fiji,Rugby Sevens
Bronze Medal,3,ULUNISAU R,ULUNISAU Reapi,W,FIJ,RUG,Women,Fiji,Rugby Sevens
Bronze Medal,3,ROQICA A,ROQICA Ana,W,FIJ,RUG,Women,Fiji,Rugby Sevens
Bronze Medal,3,NAGASAU R,NAGASAU Rusila,W,FIJ,RUG,Women,Fiji,Rugby Sevens
Bronze Medal,3,SOLIKOVITI V,SOLIKOVITI Vasiti,W,FIJ,RUG,Women,Fiji,Rugby Sevens
Bronze Medal,3,TINAI L,TINAI Lavenia,W,FIJ,RUG,Women,Fiji,Rugby Sevens
Bronze Medal,3,NAIMASI AM,NAIMASI Ana Maria,W,FIJ,RUG,Women,Fiji,Rugby Sevens
Bronze Medal,3,RIWAI V,RIWAI Viniana,W,FIJ,RUG,Women,Fiji,Rugby Sevens
Bronze Medal,3,RADINIYAVUNI R,RADINIYAVUNI Roela,W,FIJ,RUG,Women,Fiji,Rugby Sevens
Bronze Medal,3,NAKOCI A,NAKOCI Alowesi,W,FIJ,RUG,Women,Fiji,Rugby Sevens
Bronze Medal,3,DAVEUA R,DAVEUA Raijieli,W,FIJ,RUG,Women,Fiji,Rugby Sevens
Bronze Medal,3,CAVURU L,CAVURU Lavena,W,FIJ,RUG,Women,Fiji,Rugby Sevens
Bronze Medal,3,DONU S,DONU Sesenieli,W,FIJ,RUG,Women,Fiji,Rugby Sevens
Gold Medal,1,BADLOE K,BADLOE Kiran,M,NED,SAL,Men's Windsurfer - RS:X,Netherlands,Sailing
Silver Medal,2,GOYARD T,GOYARD Thomas,M,FRA,SAL,Men's Windsurfer - RS:X,France,Sailing
Bronze Medal,3,BI K,BI Kun,M,CHN,SAL,Men's Windsurfer - RS:X,People's Republic of China,Sailing
Gold Medal,1,LU Y,LU Yunxiu,W,CHN,SAL,Women's Windsurfer - RS:X,People's Republic of China,Sailing
Silver Medal,2,PICON C,PICON Charline,W,FRA,SAL,Women's Windsurfer - RS:X,France,Sailing
Bronze Medal,3,WILSON E,WILSON Emma,W,GBR,SAL,Women's Windsurfer - RS:X,Great Britain,Sailing
Gold Medal,1,CHRISTEN N,CHRISTEN Nina,W,SUI,SHO,50m Rifle 3 Positions Women,Switzerland,Shooting
Silver Medal,2,ZYKOVA Y,ZYKOVA Yulia,W,ROC,SHO,50m Rifle 3 Positions Women,ROC,Shooting
Bronze Medal,3,KARIMOVA Y,KARIMOVA Yulia,W,ROC,SHO,50m Rifle 3 Positions Women,ROC,Shooting
Gold Medal,1,FERNANDEZ A,FERNANDEZ Alberto,X,ESP,SHO,Trap Mixed Team,Spain,Shooting
Gold Medal,1,GALVEZ F,GALVEZ Fatima,X,ESP,SHO,Trap Mixed Team,Spain,Shooting
Silver Medal,2,PERILLI A,PERILLI Alessandra,X,SMR,SHO,Trap Mixed Team,San Marino,Shooting
Silver Medal,2,BERTI GM,BERTI Gian Marco,X,SMR,SHO,Trap Mixed Team,San Marino,Shooting
Bronze Medal,3,BERNAU MA,BERNAU Madelynn Ann,X,USA,SHO,Trap Mixed Team,United States of America,Shooting
Bronze Medal,3,BURROWS B,BURROWS Brian,X,USA,SHO,Trap Mixed Team,United States of America,Shooting
Gold Medal,1,DRESSEL C,DRESSEL Caeleb,M,USA,SWM,Men's 100m Butterfly,United States of America,Swimming
Silver Medal,2,MILAK K,MILAK Kristof,M,HUN,SWM,Men's 100m Butterfly,Hungary,Swimming
Bronze Medal,3,PONTI N,PONTI Noe,M,SUI,SWM,Men's 100m Butterfly,Switzerland,Swimming
Gold Medal,1,ANDERSON F,ANDERSON Freya,X,GBR,SWM,Mixed 4 x 100m Medley Relay,Great Britain,Swimming
Gold Medal,1,DAWSON K,DAWSON Kathleen,X,GBR,SWM,Mixed 4 x 100m Medley Relay,Great Britain,Swimming
Gold Medal,1,GUY J,GUY James,X,GBR,SWM,Mixed 4 x 100m Medley Relay,Great Britain,Swimming
Gold Medal,1,HOPKIN A,HOPKIN Anna,X,GBR,SWM,Mixed 4 x 100m Medley Relay,Great Britain,Swimming
Gold Medal,1,PEATY A,PEATY Adam,X,GBR,SWM,Mixed 4 x 100m Medley Relay,Great Britain,Swimming
Silver Medal,2,ZHANG Y,ZHANG Yufei,X,CHN,SWM,Mixed 4 x 100m Medley Relay,People's Republic of China,Swimming
Silver Medal,2,YANG J,YANG Junxuan,X,CHN,SWM,Mixed 4 x 100m Medley Relay,People's Republic of China,Swimming
Silver Medal,2,YAN Z,YAN Zibei,X,CHN,SWM,Mixed 4 x 100m Medley Relay,People's Republic of China,Swimming
Silver Medal,2,XU J,XU Jiayu,X,CHN,SWM,Mixed 4 x 100m Medley Relay,People's Republic of China,Swimming
Bronze Medal,3,TEMPLE M,TEMPLE Matthew,X,AUS,SWM,Mixed 4 x 100m Medley Relay,Australia,Swimming
Bronze Medal,3,THROSSELL B,THROSSELL Brianna,X,AUS,SWM,Mixed 4 x 100m Medley Relay,Australia,Swimming
Bronze Medal,3,COOPER I,COOPER Isaac,X,AUS,SWM,Mixed 4 x 100m Medley Relay,Australia,Swimming
Bronze Medal,3,STUBBLETY-COOK I,STUBBLETY-COOK Izaac,X,AUS,SWM,Mixed 4 x 100m Medley Relay,Australia,Swimming
Bronze Medal,3,McKEOWN K,McKEOWN Kaylee,X,AUS,SWM,Mixed 4 x 100m Medley Relay,Australia,Swimming
Bronze Medal,3,McKEON E,McKEON Emma,X,AUS,SWM,Mixed 4 x 100m Medley Relay,Australia,Swimming
Bronze Medal,3,CAMPBELL B,CAMPBELL Bronte,X,AUS,SWM,Mixed 4 x 100m Medley Relay,Australia,Swimming
Gold Medal,1,McKEOWN K,McKEOWN Kaylee,W,AUS,SWM,Women's 200m Backstroke,Australia,Swimming
Silver Medal,2,MASSE K,MASSE Kylie,W,CAN,SWM,Women's 200m Backstroke,Canada,Swimming
Bronze Medal,3,SEEBOHM E,SEEBOHM Emily,W,AUS,SWM,Women's 200m Backstroke,Australia,Swimming
Gold Medal,1,LEDECKY K,LEDECKY Kathleen,W,USA,SWM,Women's 800m Freestyle,United States of America,Swimming
Silver Medal,2,TITMUS A,TITMUS Ariarne,W,AUS,SWM,Women's 800m Freestyle,Australia,Swimming
Bronze Medal,3,QUADARELLA S,QUADARELLA Simona,W,ITA,SWM,Women's 800m Freestyle,Italy,Swimming
Bronze Medal,3,CARRENO BUSTA P,CARRENO BUSTA Pablo,M,ESP,TEN,Men's Singles,Spain,Tennis
Bronze Medal,3,PEERS J,PEERS John,X,AUS,TEN,Mixed Doubles,Australia,Tennis
Bronze Medal,3,BARTY A,BARTY Ashleigh,X,AUS,TEN,Mixed Doubles,Australia,Tennis
Bronze Medal,3,PIGOSSI L,PIGOSSI Laura,W,BRA,TEN,Women's Doubles,Brazil,Tennis
Bronze Medal,3,STEFANI L,STEFANI Luisa,W,BRA,TEN,Women's Doubles,Brazil,Tennis
Gold Medal,1,BENCIC B,BENCIC Belinda,W,SUI,TEN,Women's Singles,Switzerland,Tennis
Silver Medal,2,VONDROUSOVA M,VONDROUSOVA Marketa,W,CZE,TEN,Women's Singles,Czech Republic,Tennis
Bronze Medal,3,SVITOLINA E,SVITOLINA Elina,W,UKR,TEN,Women's Singles,Ukraine,Tennis
Gold Medal,1,LITVINOVICH I,LITVINOVICH Ivan,M,BLR,GTR,Men,Belarus,Trampoline Gymnastics
Silver Medal,2,DONG D,DONG Dong,M,CHN,GTR,Men,People's Republic of China,Trampoline Gymnastics
Bronze Medal,3,SCHMIDT D,SCHMIDT Dylan,M,NZL,GTR,Men,New Zealand,Trampoline Gymnastics
Gold Medal,1,TAYLOR-BROWN G,TAYLOR-BROWN Georgia,X,GBR,TRI,Mixed Relay,Great Britain,Triathlon
Gold Medal,1,YEE A,YEE Alex,X,GBR,TRI,Mixed Relay,Great Britain,Triathlon
Gold Medal,1,BROWNLEE J,BROWNLEE Jonathan,X,GBR,TRI,Mixed Relay,Great Britain,Triathlon
Gold Medal,1,LEARMONTH J,LEARMONTH Jessica,X,GBR,TRI,Mixed Relay,Great Britain,Triathlon
Silver Medal,2,ZAFERES K,ZAFERES Katie,X,USA,TRI,Mixed Relay,United States of America,Triathlon
Silver Medal,2,PEARSON M,PEARSON Morgan,X,USA,TRI,Mixed Relay,United States of America,Triathlon
Silver Medal,2,KNIBB T,KNIBB Taylor,X,USA,TRI,Mixed Relay,United States of America,Triathlon
Silver Medal,2,McDOWELL K,McDOWELL Kevin,X,USA,TRI,Mixed Relay,United States of America,Triathlon
Bronze Medal,3,BEAUGRAND C,BEAUGRAND Cassandre,X,FRA,TRI,Mixed Relay,France,Triathlon
Bronze Medal,3,CONINX D,CONINX Dorian,X,FRA,TRI,Mixed Relay,France,Triathlon
Bronze Medal,3,LUIS V,LUIS Vincent,X,FRA,TRI,Mixed Relay,France,Triathlon
Bronze Medal,3,PERIAULT L,PERIAULT Leonie,X,FRA,TRI,Mixed Relay,France,Triathlon
Gold Medal,1,LYU X,LYU Xiaojun,M,CHN,WLF,Men's 81kg,People's Republic of China,Weightlifting
Silver Medal,2,BONNAT MICHEL Z,BONNAT MICHEL Zacarias,M,DOM,WLF,Men's 81kg,Dominican Republic,Weightlifting
Bronze Medal,3,PIZZOLATO A,PIZZOLATO Antonino,M,ITA,WLF,Men's 81kg,Italy,Weightlifting
Gold Medal,1,ELBAKH FIEH,ELBAKH Fares Ibrahim E H,M,QAT,WLF,Men's 96kg,Qatar,Weightlifting
Silver Medal,2,VALLENILLA SANCHEZ,VALLENILLA SANCHEZ Keydomar Giovan.,M,VEN,WLF,Men's 96kg,Venezuela,Weightlifting
Bronze Medal,3,PLIESNOI A,PLIESNOI Anton,M,GEO,WLF,Men's 96kg,Georgia,Weightlifting
Gold Medal,1,DOLGOPYAT A,DOLGOPYAT Artem,M,ISR,GAR,Men's Floor Exercise,Israel,Artistic Gymnastics
Silver Medal,2,ZAPATA R,ZAPATA Rayderley,M,ESP,GAR,Men's Floor Exercise,Spain,Artistic Gymnastics
Bronze Medal,3,XIAO R,XIAO Ruoteng,M,CHN,GAR,Men's Floor Exercise,People's Republic of China,Artistic Gymnastics
Gold Medal,1,WHITLOCK M,WHITLOCK Max,M,GBR,GAR,Men's Pommel Horse,Great Britain,Artistic Gymnastics
Silver Medal,2,LEE CK,LEE Chih Kai,M,TPE,GAR,Men's Pommel Horse,Chinese Taipei,Artistic Gymnastics
Bronze Medal,3,KAYA K,KAYA Kazuma,M,JPN,GAR,Men's Pommel Horse,Japan,Artistic Gymnastics
Gold Medal,1,DERWAEL N,DERWAEL Nina,W,BEL,GAR,Women's Uneven Bars,Belgium,Artistic Gymnastics
Silver Medal,2,ILIANKOVA A,ILIANKOVA Anastasiia,W,ROC,GAR,Women's Uneven Bars,ROC,Artistic Gymnastics
Bronze Medal,3,LEE S,LEE Sunisa,W,USA,GAR,Women's Uneven Bars,United States of America,Artistic Gymnastics
Gold Medal,1,ANDRADE R,ANDRADE Rebeca,W,BRA,GAR,Women's Vault,Brazil,Artistic Gymnastics
Silver Medal,2,SKINNER M,SKINNER Mykayla,W,USA,GAR,Women's Vault,United States of America,Artistic Gymnastics
Bronze Medal,3,YEO S,YEO Seojeong,W,KOR,GAR,Women's Vault,Republic of Korea,Artistic Gymnastics
Gold Medal,1,JACOBS LM,JACOBS Lamont Marcell,M,ITA,ATH,Men's 100m,Italy,Athletics
Silver Medal,2,KERLEY F,KERLEY Fred,M,USA,ATH,Men's 100m,United States of America,Athletics
Bronze Medal,3,de GRASSE A,de GRASSE Andre,M,CAN,ATH,Men's 100m,Canada,Athletics
Gold Medal,1,BARSHIM ME,BARSHIM Mutaz Essa,M,QAT,ATH,Men's High Jump,Qatar,Athletics
Gold Medal,1,TAMBERI G,TAMBERI Gianmarco,M,ITA,ATH,Men's High Jump,Italy,Athletics
Bronze Medal,3,NEDASEKAU M,NEDASEKAU Maksim,M,BLR,ATH,Men's High Jump,Belarus,Athletics
Gold Medal,1,GONG L,GONG Lijiao,W,CHN,ATH,Women's Shot Put,People's Republic of China,Athletics
Silver Medal,2,SAUNDERS R,SAUNDERS Raven,W,USA,ATH,Women's Shot Put,United States of America,Athletics
Bronze Medal,3,ADAMS V,ADAMS Valerie,W,NZL,ATH,Women's Shot Put,New Zealand,Athletics
Gold Medal,1,ROJAS Y,ROJAS Yulimar,W,VEN,ATH,Women's Triple Jump,Venezuela,Athletics
Silver Medal,2,MAMONA P,MAMONA Patricia,W,POR,ATH,Women's Triple Jump,Portugal,Athletics
Bronze Medal,3,PELETEIRO A,PELETEIRO Ana,W,ESP,ATH,Women's Triple Jump,Spain,Athletics
Gold Medal,1,CHEN Yu Fei,CHEN Yu Fei,W,CHN,BDM,Women's Singles,People's Republic of China,Badminton
Silver Medal,2,TAI TY,TAI Tzu-Ying,W,TPE,BDM,Women's Singles,Chinese Taipei,Badminton
Bronze Medal,3,PUSARLA VS,PUSARLA V. Sindhu,W,IND,BDM,Women's Singles,India,Badminton
Bronze Medal,3,ALFONSO DOMINGUEZ,ALFONSO DOMINGUEZ Loren Berto,M,AZE,BOX,Men's Light Heavy (75-81kg),Azerbaijan,Boxing
Bronze Medal,3,KHATAEV I,KHATAEV Imam,M,ROC,BOX,Men's Light Heavy (75-81kg),ROC,Boxing
Bronze Medal,3,WALSH A,WALSH Aidan,M,IRL,BOX,Men's Welter (63-69kg),Ireland,Boxing
Bronze Medal,3,ZAMKOVOI A,ZAMKOVOI Andrei,M,ROC,BOX,Men's Welter (63-69kg),ROC,Boxing
Gold Medal,1,MARTIN L,MARTIN Logan,M,AUS,BMF,Men's Park,Australia,Cycling BMX Freestyle
Silver Medal,2,DHERS D,DHERS Daniel,M,VEN,BMF,Men's Park,Venezuela,Cycling BMX Freestyle
Bronze Medal,3,BROOKS D,BROOKS Declan,M,GBR,BMF,Men's Park,Great Britain,Cycling BMX Freestyle
Gold Medal,1,WORTHINGTON C,WORTHINGTON Charlotte,W,GBR,BMF,Women's Park,Great Britain,Cycling BMX Freestyle
Silver Medal,2,ROBERTS H,ROBERTS Hannah,W,USA,BMF,Women's Park,United States of America,Cycling BMX Freestyle
Bronze Medal,3,DUCARROZ N,DUCARROZ Nikita,W,SUI,BMF,Women's Park,Switzerland,Cycling BMX Freestyle
Gold Medal,1,SHI T,SHI Tingmao,W,CHN,DIV,Women's 3m Springboard,People's Republic of China,Diving
Silver Medal,2,WANG H,WANG Han,W,CHN,DIV,Women's 3m Springboard,People's Republic of China,Diving
Bronze Medal,3,PALMER K,PALMER Krysta,W,USA,DIV,Women's 3m Springboard,United States of America,Diving
Gold Medal,1,le PECHOUX E,le PECHOUX Erwann,M,FRA,FEN,Men's Foil Team,France,Fencing
Gold Medal,1,LEFORT E,LEFORT Enzo,M,FRA,FEN,Men's Foil Team,France,Fencing
Gold Medal,1,MERTINE J,MERTINE Julien,M,FRA,FEN,Men's Foil Team,France,Fencing
Gold Medal,1,PAUTY M,PAUTY Maxime,M,FRA,FEN,Men's Foil Team,France,Fencing
Silver Medal,2,SAFIN T,SAFIN Timur,M,ROC,FEN,Men's Foil Team,ROC,Fencing
Silver Medal,2,BORODACHEV K,BORODACHEV Kirill,M,ROC,FEN,Men's Foil Team,ROC,Fencing
Silver Medal,2,BORODACHEV A,BORODACHEV Anton,M,ROC,FEN,Men's Foil Team,ROC,Fencing
Silver Medal,2,MYLNIKOV V,MYLNIKOV Vladislav,M,ROC,FEN,Men's Foil Team,ROC,Fencing
Bronze Medal,3,ITKIN N,ITKIN Nick,M,USA,FEN,Men's Foil Team,United States of America,Fencing
Bronze Medal,3,IMBODEN R,IMBODEN Race,M,USA,FEN,Men's Foil Team,United States of America,Fencing
Bronze Medal,3,MASSIALAS A,MASSIALAS Alexander,M,USA,FEN,Men's Foil Team,United States of America,Fencing
Bronze Medal,3,MEINHARDT G,MEINHARDT Gerek,M,USA,FEN,Men's Foil Team,United States of America,Fencing
Gold Medal,1,SCHAUFFELE X,SCHAUFFELE Xander,M,USA,GLF,Men's Individual Stroke Play,United States of America,Golf
Silver Medal,2,SABBATINI R,SABBATINI Rory,M,SVK,GLF,Men's Individual Stroke Play,Slovakia,Golf
Bronze Medal,3,PAN C T,PAN C T,M,TPE,GLF,Men's Individual Stroke Play,Chinese Taipei,Golf
Gold Medal,1,WEARN M,WEARN Matt,M,AUS,SAL,Men's One Person Dinghy - Laser,Australia,Sailing
